id,string_remove_stopwords,company_lower,occupation_lower,place_lower,keywords_combined
1856,management uniqlo terrible never enjoyed coming work didnt feel supported really didnt enjoy time happy leave,uniqlo,loss prevention associate,melbourne city centre vic,management uniqlo terrible never enjoyed coming work didnt feel supported really didnt enjoy time happy leave loss prevention associate uniqlo melbourne city centre vic
1857,working full time position found management terrible treating employees respect either helped ignored yelled many people left job terrible plus get meet nice people work,uniqlo,sales associate,melbourne city centre vic,working full time position found management terrible treating employees respect either helped ignored yelled many people left job terrible plus get meet nice people work sales associate uniqlo melbourne city centre vic
1858,day constant floorwork direct customer service management poor rarely felt comfortable asking help would often reprimand anyone understanding constantly pushed sales us punished us meeting quota coworkers helpful didnt get spend much time always busy stressed hardest part job turning honestly never missed shift hated left sinkorswim environment felt like one willing help swim enjoyable part job closing store everyone relaxed little giving chance laugh cleaned,uniqlo,sales assistant,melbourne eastern suburbs vic,day constant floorwork direct customer service management poor rarely felt comfortable asking help would often reprimand anyone understanding constantly pushed sales us punished us meeting quota coworkers helpful didnt get spend much time always busy stressed hardest part job turning honestly never missed shift hated left sinkorswim environment felt like one willing help swim enjoyable part job closing store everyone relaxed little giving chance laugh cleaned sales assistant uniqlo melbourne eastern suburbs vic
1859,typical day uniqlo starts early morning late night depending shift management tendency touch play favoritism staff resulting reduced staff morale,uniqlo,retail sales associate,melbourne vic,typical day uniqlo starts early morning late night depending shift management tendency touch play favoritism staff resulting reduced staff morale retail sales associate uniqlo melbourne vic
1860,la cultura aziendale è quella tipicamente giapponese quindi riunioni di gruppo generali su base quotidiana regole e formalismi gogò per dar forza quel senso di lavoro di gruppo dove tutti ci sentiamo casa e tutti siamo una squadra meglio ancora se vincente si promettono avanzamenti di carriera su base oggettiva per evitare favoritismi io ho visto comportamentiamicizieconoscenze piuttosto sospette uso costante di inglesismi giustificabili solo dal piacevole ambiente internazionale il cui caposaldo è la ricchezza data dalla diversità di ognuno deve piacere se come commessao vi sentite dequalificati rispetto al vostro bagaglio formativoculturale come nel mio caso rimarrete delusi e vi guarderete presto altrove lo stipendio è buono per la fatica fisica e limpegno richiesti non è comunque altissimo,uniqlo,customer advisor,"milano, lombardia","la cultura aziendale è quella tipicamente giapponese quindi riunioni di gruppo generali su base quotidiana regole e formalismi gogò per dar forza quel senso di lavoro di gruppo dove tutti ci sentiamo casa e tutti siamo una squadra meglio ancora se vincente si promettono avanzamenti di carriera su base oggettiva per evitare favoritismi io ho visto comportamentiamicizieconoscenze piuttosto sospette uso costante di inglesismi giustificabili solo dal piacevole ambiente internazionale il cui caposaldo è la ricchezza data dalla diversità di ognuno deve piacere se come commessao vi sentite dequalificati rispetto al vostro bagaglio formativoculturale come nel mio caso rimarrete delusi e vi guarderete presto altrove lo stipendio è buono per la fatica fisica e limpegno richiesti non è comunque altissimo customer advisor uniqlo milano, lombardia"
1861,morning meetings review schedule task stationed anything learned bunch cleaning fold properly management ok job ok nothing nothing less move actually get pay rate pretty much breathe live uniqlo know inside get raise move plan staying long term go ahead would recommend part time job actually need money hours hours given based much money make dont make much many things overall best part serving customers,uniqlo,sales associate,"milford, ct","morning meetings review schedule task stationed anything learned bunch cleaning fold properly management ok job ok nothing nothing less move actually get pay rate pretty much breathe live uniqlo know inside get raise move plan staying long term go ahead would recommend part time job actually need money hours hours given based much money make dont make much many things overall best part serving customers sales associate uniqlo milford, ct"
1862,uniqlo great environment work first job change new management became hostile place always drama miss communication different management,uniqlo,sales associate,"milpitas, ca","uniqlo great environment work first job change new management became hostile place always drama miss communication different management sales associate uniqlo milpitas, ca"
1863,worked sq 1 opened wear eyepatch due injury everyone made fun got angry said couldnt work certain day school made go way vaughn eaton center wasnt compensated time targets understandable gave impossible assignments everyone else teams 4 us work overtime never mentioned optional ended working almost 11 sometimes later customers complained time several times coworkers rude even higher ups floor would make angry strict sales associates loose comes working rights,uniqlo,sales associate,"mississauga, on","worked sq 1 opened wear eyepatch due injury everyone made fun got angry said couldnt work certain day school made go way vaughn eaton center wasnt compensated time targets understandable gave impossible assignments everyone else teams 4 us work overtime never mentioned optional ended working almost 11 sometimes later customers complained time several times coworkers rude even higher ups floor would make angry strict sales associates loose comes working rights sales associate uniqlo mississauga, on"
1864,uniqlo montpellier entreprise très axée sur la culture de travail japonaise en surface mais au niveau des équipes cest complètement autre chose commérage aucune solidarité coup bas harcèlement moral entre collègue etc faites attention si vous recrute en tant que renfort cdd ils recrutent 6 personnes en sachant quils nont que 4 postes à pourvoir les 2 autres sont utilisés pour écouler la préparation des stocks pour ensuite vous faire croire que cest vous navez pas les compétences à la fin dune période dessai de 8jours même si vous vous êtes donné à 1000 un conseil bien faire le lèche botte pour être dans les petits papiers des superviseurs pour être certain de rester même si vous partisan du moindre effort ca biensûre ne vous le dit pas en entretien létique se fait de plus en plus rare dans le monde professionnel,uniqlo,vendeur polyvalent,montpellier (34),uniqlo montpellier entreprise très axée sur la culture de travail japonaise en surface mais au niveau des équipes cest complètement autre chose commérage aucune solidarité coup bas harcèlement moral entre collègue etc faites attention si vous recrute en tant que renfort cdd ils recrutent 6 personnes en sachant quils nont que 4 postes à pourvoir les 2 autres sont utilisés pour écouler la préparation des stocks pour ensuite vous faire croire que cest vous navez pas les compétences à la fin dune période dessai de 8jours même si vous vous êtes donné à 1000 un conseil bien faire le lèche botte pour être dans les petits papiers des superviseurs pour être certain de rester même si vous partisan du moindre effort ca biensûre ne vous le dit pas en entretien létique se fait de plus en plus rare dans le monde professionnel vendeur polyvalent uniqlo montpellier (34)
1865,typical day work always expect worst motivation possible friends make job management horrible hardest part constantly moving dealing worst managerssupervisors think enjoyable part enjoyable part youre breaks shift however advancing fairly easy,uniqlo,customer advisor,"new york, ny","typical day work always expect worst motivation possible friends make job management horrible hardest part constantly moving dealing worst managerssupervisors think enjoyable part enjoyable part youre breaks shift however advancing fairly easy customer advisor uniqlo new york, ny"
1866,shifts less 8 hours given store organized packed employees often employees would simply fold unfold clothes look busy management wasnt great terms direct employees dont recommend job unless youre truly passionate clothing uniqlo brand,uniqlo,customer advisor,"new york, ny","shifts less 8 hours given store organized packed employees often employees would simply fold unfold clothes look busy management wasnt great terms direct employees dont recommend job unless youre truly passionate clothing uniqlo brand customer advisor uniqlo new york, ny"
1867,great place work managers rude helpful pay associates amount work,uniqlo,customer service associate,"new york, ny","great place work managers rude helpful pay associates amount work customer service associate uniqlo new york, ny"
1868,beginning first start work basically selling dream mean everything tell get lie two months start notice work life balance expect give 200 percent work life managers arent really managers dont control anything managers control store managers think tyrants dont wan na go much company care employees would definitely recommend job anyone,uniqlo,loss prevention agent,"new york, ny","beginning first start work basically selling dream mean everything tell get lie two months start notice work life balance expect give 200 percent work life managers arent really managers dont control anything managers control store managers think tyrants dont wan na go much company care employees would definitely recommend job anyone loss prevention agent uniqlo new york, ny"
1869,politics favoritism fun first truth revealed people start leaving company two week upper management loss prevention even house keeping,uniqlo,online pick up /supervisor aa3,"new york, ny","politics favoritism fun first truth revealed people start leaving company two week upper management loss prevention even house keeping online pick up /supervisor aa3 uniqlo new york, ny"
1870,nothing say place would positive rather write anything required use least thirty words absolutely nothing say one day enjoyable would challenge find employee something positive say,uniqlo,operation supervisor,"new york, ny","nothing say place would positive rather write anything required use least thirty words absolutely nothing say one day enjoyable would challenge find employee something positive say operation supervisor uniqlo new york, ny"
1871,gained lots skills workload intense meet amazing people along way made tasks daunting fast paced retail environment company culture strict order provide high results daily basis learn lot business chance learn promotions taking initiative,uniqlo,operations supervisor,"new york, ny","gained lots skills workload intense meet amazing people along way made tasks daunting fast paced retail environment company culture strict order provide high results daily basis learn lot business chance learn promotions taking initiative operations supervisor uniqlo new york, ny"
1872,hard place work friendly place workmanagement changes every week,uniqlo,replenishment advisor,"new york, ny","hard place work friendly place workmanagement changes every week replenishment advisor uniqlo new york, ny"
1873,learn work super fast speed youre actually productive worker however productive worker youll taking majority days work load average worker uniqlo lazy management expects regular worker able nearly everything know nearly everything overwhelming times especially youre new employee promotions bias people promoted start handing task lower workers management literally breathing neck look like youre busy 1 second overall stressful environment youre required know top pace youre expected work combined customers occasionally rude may speak english want personal shop forwith store moves everything around every week top common work place pettiness among employees pay good though expect leaving 12am days,uniqlo,sales associate,"new york, ny","learn work super fast speed youre actually productive worker however productive worker youll taking majority days work load average worker uniqlo lazy management expects regular worker able nearly everything know nearly everything overwhelming times especially youre new employee promotions bias people promoted start handing task lower workers management literally breathing neck look like youre busy 1 second overall stressful environment youre required know top pace youre expected work combined customers occasionally rude may speak english want personal shop forwith store moves everything around every week top common work place pettiness among employees pay good though expect leaving 12am days sales associate uniqlo new york, ny"
1874,environment wasnt really proassociate management expected much workers advancement seem merit based terrible morale incentives bare minimum,uniqlo,sales associate,"new york, ny","environment wasnt really proassociate management expected much workers advancement seem merit based terrible morale incentives bare minimum sales associate uniqlo new york, ny"
1875,job taught im open minded understanding person favorite part job understanding looking specifically within piece merchandice customers putting smile face leave enter store hardest part job trying give customers best customer service sometimes always relate someone wants maybe store didnt expectinglooking fore also didnt want look like rushing help another customer management pretty decent timesi felt like could little put together store ups downs,uniqlo,sales associate,"new york, ny","job taught im open minded understanding person favorite part job understanding looking specifically within piece merchandice customers putting smile face leave enter store hardest part job trying give customers best customer service sometimes always relate someone wants maybe store didnt expectinglooking fore also didnt want look like rushing help another customer management pretty decent timesi felt like could little put together store ups downs sales associate uniqlo new york, ny"
1876,fact youre standing eight hours literally nt anything since entire store ghost town great clothes discounts,uniqlo,sales associate,"new york, ny","fact youre standing eight hours literally nt anything since entire store ghost town great clothes discounts sales associate uniqlo new york, ny"
1877,great youre customer horrible employee working wear black top bottom depressing since image care theyll chew minor errors growth comes youre willing kiss way,uniqlo,sales associate,"new york, ny","great youre customer horrible employee working wear black top bottom depressing since image care theyll chew minor errors growth comes youre willing kiss way sales associate uniqlo new york, ny"
1878,typical day jotting sales figures sales target day learned fake smile place emphasizes even kills management includes immature people talk badly employeesin front employees hardest parts 89 hour shifts one hour breaks nice enjoyable parts picking paycheck though pay biweekly,uniqlo,sales associate / cashier,"new york, ny","typical day jotting sales figures sales target day learned fake smile place emphasizes even kills management includes immature people talk badly employeesin front employees hardest parts 89 hour shifts one hour breaks nice enjoyable parts picking paycheck though pay biweekly sales associate / cashier uniqlo new york, ny"
1879,typical day uniqlo pretty busy expect deal hundreds thousand customers store daily customers come world hard understand get need dont speak english uniqlo learned importance good customer service since main focus company seems whats important management toss pretty much depends dealing higher manager usually politeefficient job immediate supervisors come rushed didnt receive proper training ending job co workers arent bad usually help lot faster managers make feel welcomed hardest part job would balancing expectations managers without proper training handling customers speak languages first language enjoyable part job able help customers find exactly needed something really similar going home,uniqlo,sales associate/cashier,"new york, ny","typical day uniqlo pretty busy expect deal hundreds thousand customers store daily customers come world hard understand get need dont speak english uniqlo learned importance good customer service since main focus company seems whats important management toss pretty much depends dealing higher manager usually politeefficient job immediate supervisors come rushed didnt receive proper training ending job co workers arent bad usually help lot faster managers make feel welcomed hardest part job would balancing expectations managers without proper training handling customers speak languages first language enjoyable part job able help customers find exactly needed something really similar going home sales associate/cashier uniqlo new york, ny"
1880,got job school employees fellow college students must endure stress job give typical day flagship store long busy filled tourist undoing every single stack folded typical retail place man overdoes it1 interview done group sit start asking see 5 years etc followed group orientation basically tell everyone even coworkers shoplifters stressed part orientation2 onto hardest stressful part job closingopening meetings every single shift must scream phrases memorize heart else singled must remember color charts cut clothes must carry pouch name tag dress code basically anything sell said pouch randomly inspected phone lol assigned time start forget time leave till 2 regardless done assigned area still whole bunch stuff undone forced stay finished bins bins clothes coworkers cooler management left hours ago bins bins clothes must folded techniques else refold ever gone uniqlo store would see perfectly folded clothes due employee folding,uniqlo,sales associate/cashier,"new york, ny","got job school employees fellow college students must endure stress job give typical day flagship store long busy filled tourist undoing every single stack folded typical retail place man overdoes it1 interview done group sit start asking see 5 years etc followed group orientation basically tell everyone even coworkers shoplifters stressed part orientation2 onto hardest stressful part job closingopening meetings every single shift must scream phrases memorize heart else singled must remember color charts cut clothes must carry pouch name tag dress code basically anything sell said pouch randomly inspected phone lol assigned time start forget time leave till 2 regardless done assigned area still whole bunch stuff undone forced stay finished bins bins clothes coworkers cooler management left hours ago bins bins clothes must folded techniques else refold ever gone uniqlo store would see perfectly folded clothes due employee folding sales associate/cashier uniqlo new york, ny"
1881,modeled local fashion shows promoted various products local party corporate events posed artists photographers assembled maintained portfolios print composite cards travel gosees obtain jobs follow strict routines diet sleep exercise maintain appearance report job completions agencies obtain information future appointments,uniqlo,sales associate,"new york, ny","modeled local fashion shows promoted various products local party corporate events posed artists photographers assembled maintained portfolios print composite cards travel gosees obtain jobs follow strict routines diet sleep exercise maintain appearance report job completions agencies obtain information future appointments sales associate uniqlo new york, ny"
1882,definetly best jobi ever place looked nice nice break room supervisormanager comes work try anything possibly work like others tends pretty bad theyre schedule rediculous durring night simply cencoring clothes coworkers around talk make time fly catch cant talk noone store first opened nice put decided make job difficult able talk anyone hours mean absolutly censoring dark costumer tell hush focus job really look censor speal fist job great time left whole store collapsing employees,uniqlo,stock associate,"new york, ny","definetly best jobi ever place looked nice nice break room supervisormanager comes work try anything possibly work like others tends pretty bad theyre schedule rediculous durring night simply cencoring clothes coworkers around talk make time fly catch cant talk noone store first opened nice put decided make job difficult able talk anyone hours mean absolutly censoring dark costumer tell hush focus job really look censor speal fist job great time left whole store collapsing employees stock associate uniqlo new york, ny"
1883,pay great loved merchandising order survive bartend sundays came time wanted work sundays made income one day bartending sundays working half week uniqlo explained needed jobs basically told work sundays would fired,uniqlo,visual merchandiser/ stylist,"new york, ny","pay great loved merchandising order survive bartend sundays came time wanted work sundays made income one day bartending sundays working half week uniqlo explained needed jobs basically told work sundays would fired visual merchandiser/ stylist uniqlo new york, ny"
1884,environment coworkers best store fails prioritize necessary goals employees get decent hours training new hires also informative used,uniqlo,women's floor cash wrap supervisor,"new york, ny","environment coworkers best store fails prioritize necessary goals employees get decent hours training new hires also informative used women's floor cash wrap supervisor uniqlo new york, ny"
1885,worked uniqlo 7 months like people said favoritism always expecting sit great thing discount super strict dress code wear also another thing terminate smallest little things store accuse everything another supervisor wrong,uniqlo,advance associate 2,"ontario, ca","worked uniqlo 7 months like people said favoritism always expecting sit great thing discount super strict dress code wear also another thing terminate smallest little things store accuse everything another supervisor wrong advance associate 2 uniqlo ontario, ca"
1886,une journée au sein dun magasin uniqlo demande un effort physique constant vous devrez mettre des alarmes sur plus de 100 pièces de vêtements en un temps chronométré en moyenne il faudra faire 6 à 8 cartons puis installer la marchandise en rayon en 1h le côté agréable cest de changer toutes les heures de tache caisse stock surface de vente pour évoluer il faudra compter 3 ans minimum car la liste dattente est longue après un grade de ap il faudra travailler plus que les autres pour le même salaire le stress est très important vous êtes contrôlé toutes les heures à votre poste en caisse il faudra plier la marchandise et servir de client en 1 minute 30 il faut tenir debout 7h et la pause déjeuner est vérifier à la pointeuse aucune possibilité de vie privée jamais deux jours de repos une fois par et encore en demandant à lavance les horaires toujours les mêmes 7h15h ou 13h 21h la plus part du temps vous êtes du soir quoi quil arrive les congés ne peuvent pas être pris après septembre les managers sont souvent blasés et soccupent très peu mauvaise entente au sein des équipes rivalités coup bas commérages au rendezvous car équipe très jeune moyenne dâge 18 à 26 ans manager trop jeune qui sortent des écoles sans expérience entreprise qui ne garde pas ses salariés car la plus part partent rapidement ailleurs la plus part des employés se blessent ou sont en arrêt maladie aucune climatisation dans les cabines dessayage lété il faut plier seul et prendre la prise des ourlets des pantalons des clients il faut aussi faire le vigile,uniqlo,vendeur polyvalent,opéra (75),une journée au sein dun magasin uniqlo demande un effort physique constant vous devrez mettre des alarmes sur plus de 100 pièces de vêtements en un temps chronométré en moyenne il faudra faire 6 à 8 cartons puis installer la marchandise en rayon en 1h le côté agréable cest de changer toutes les heures de tache caisse stock surface de vente pour évoluer il faudra compter 3 ans minimum car la liste dattente est longue après un grade de ap il faudra travailler plus que les autres pour le même salaire le stress est très important vous êtes contrôlé toutes les heures à votre poste en caisse il faudra plier la marchandise et servir de client en 1 minute 30 il faut tenir debout 7h et la pause déjeuner est vérifier à la pointeuse aucune possibilité de vie privée jamais deux jours de repos une fois par et encore en demandant à lavance les horaires toujours les mêmes 7h15h ou 13h 21h la plus part du temps vous êtes du soir quoi quil arrive les congés ne peuvent pas être pris après septembre les managers sont souvent blasés et soccupent très peu mauvaise entente au sein des équipes rivalités coup bas commérages au rendezvous car équipe très jeune moyenne dâge 18 à 26 ans manager trop jeune qui sortent des écoles sans expérience entreprise qui ne garde pas ses salariés car la plus part partent rapidement ailleurs la plus part des employés se blessent ou sont en arrêt maladie aucune climatisation dans les cabines dessayage lété il faut plier seul et prendre la prise des ourlets des pantalons des clients il faut aussi faire le vigile vendeur polyvalent uniqlo opéra (75)
1887,si vous êtes jeunes sans expérience que vous avez de l ’ energie revendre sans trop attendre ’ en retour c ’ est idéal cela vous forme à toutes´ les taches qu ’ peut vous demander dans le milieu de la vente mauvaise idée si vous avez des charges loyer etc car le salaire est très très bas pour la charge de travail qu ’ nous demande làbas,uniqlo,vendeur polyvalent,opéra (75),si vous êtes jeunes sans expérience que vous avez de l ’ energie revendre sans trop attendre ’ en retour c ’ est idéal cela vous forme à toutes´ les taches qu ’ peut vous demander dans le milieu de la vente mauvaise idée si vous avez des charges loyer etc car le salaire est très très bas pour la charge de travail qu ’ nous demande làbas vendeur polyvalent uniqlo opéra (75)
1888,joined part time pay worth amount effort put firstly cleaning morning company pay 750 compared hiring professional cleaners also stressful managers give little time complete lot tasks staff nice others tend bully newcomers worklife balance long working hours usually asked extend beyond clock time management strict staff many assessments internally recommend working retail outlet pays 750 per hour 750 already inclusive public holidays annual leave encashed totally worth,uniqlo,part time retail assistant,orchard,joined part time pay worth amount effort put firstly cleaning morning company pay 750 compared hiring professional cleaners also stressful managers give little time complete lot tasks staff nice others tend bully newcomers worklife balance long working hours usually asked extend beyond clock time management strict staff many assessments internally recommend working retail outlet pays 750 per hour 750 already inclusive public holidays annual leave encashed totally worth part time retail assistant uniqlo orchard
1889,decent place work great diverse people diverse opinions pretty much shot management quickly hours pretty great average 32 hours week goal met sadly wont get promoted unless youre managers favorite matter much sleep lose help tolerant become management belittles everyone hires many employees fire others courage finally quit store wont hurt basically stayed long amazing coworkers werent part management team,uniqlo,sales consultant,"orlando, fl","decent place work great diverse people diverse opinions pretty much shot management quickly hours pretty great average 32 hours week goal met sadly wont get promoted unless youre managers favorite matter much sleep lose help tolerant become management belittles everyone hires many employees fire others courage finally quit store wont hurt basically stayed long amazing coworkers werent part management team sales consultant uniqlo orlando, fl"
1890,went loving job really liking company stands know people dont care u dont great would work pay pretty great compared retailers definitely get moneys worth strict way like things done big uniqlo dnawhich basically making customers ur top priority 5 things dont u event think time ur clock,uniqlo,visuals supervisor,"orlando, fl","went loving job really liking company stands know people dont care u dont great would work pay pretty great compared retailers definitely get moneys worth strict way like things done big uniqlo dnawhich basically making customers ur top priority 5 things dont u event think time ur clock visuals supervisor uniqlo orlando, fl"
1891,overall first started working fantastic learnt lot everything going well changed managers showed racial favouritism towards staff didnt like way us trained retained old staff liked refused give shifts ones didnt like working first great put areas thrived enjoyed working listen complaints fixed many mistakes possible close family built store ground felt like none long hours time worth much,uniqlo,retail assistant,pacific fair shopping centre qld,overall first started working fantastic learnt lot everything going well changed managers showed racial favouritism towards staff didnt like way us trained retained old staff liked refused give shifts ones didnt like working first great put areas thrived enjoyed working listen complaints fixed many mistakes possible close family built store ground felt like none long hours time worth much retail assistant uniqlo pacific fair shopping centre qld
1892,cest une bonne entreprise mais difficile dévoluer quand est maman cause des horaires demandé le salaire et les avantages sont des point negatifs léquipe et lambiance au travail est tres bien,uniqlo,vendeuse en prêt à porter,paris (75),cest une bonne entreprise mais difficile dévoluer quand est maman cause des horaires demandé le salaire et les avantages sont des point negatifs léquipe et lambiance au travail est tres bien vendeuse en prêt à porter uniqlo paris (75)
1893,rien faire bonne entente avec les managers et les employés,uniqlo,vendeuse en prêt à porter,paris (75),rien faire bonne entente avec les managers et les employés vendeuse en prêt à porter uniqlo paris (75)
1894,good company learn management skills front back end office definitely learn run business done ensure business run smoothly,uniqlo,team leader,punggol,good company learn management skills front back end office definitely learn run business done ensure business run smoothly team leader uniqlo punggol
1895,respect employees uses never thanks hard work,uniqlo,maintenance supervisor,"san francisco bay area, ca","respect employees uses never thanks hard work maintenance supervisor uniqlo san francisco bay area, ca"
1896,experience uniqlo differed everyday fast paced environment lead lots opportunity growth willing conform japanese standard work ethic visual team worked anywhere 814 hours day 14 shifts expected done overnight capacity,uniqlo,visual merchandise advisor,san francisco union square,experience uniqlo differed everyday fast paced environment lead lots opportunity growth willing conform japanese standard work ethic visual team worked anywhere 814 hours day 14 shifts expected done overnight capacity visual merchandise advisor uniqlo san francisco union square
1897,always staffed expect job 3 people needs dont promote people often management professional dont work dont,uniqlo,division advisor,"san francisco, ca","always staffed expect job 3 people needs dont promote people often management professional dont work dont division advisor uniqlo san francisco, ca"
1898,working almost two years uniqlo one worst job possibly ive worked retail say uniqlo different normal retail job try assimilate japanese culture started grand opening month train smile cleaning task even learning companys policy would quiz us weekly ridicule information working two years favoritism hugely played better start sucking manager want move company would task division advisorsupervisor get paid much less harsher treatments hard move floor managers expects way much associates expects ten task ask uniqlo youre failing hiring managers lazy give task associates typical things supervisormanager yet get paid much less ridiculous tell apart cons ive dealt theres two things love job work compensation awesome coworkers ive met along way pay min wage theres much could take going insane working company honestly say working made become angry person,uniqlo,sales associate,"san francisco, ca","working almost two years uniqlo one worst job possibly ive worked retail say uniqlo different normal retail job try assimilate japanese culture started grand opening month train smile cleaning task even learning companys policy would quiz us weekly ridicule information working two years favoritism hugely played better start sucking manager want move company would task division advisorsupervisor get paid much less harsher treatments hard move floor managers expects way much associates expects ten task ask uniqlo youre failing hiring managers lazy give task associates typical things supervisormanager yet get paid much less ridiculous tell apart cons ive dealt theres two things love job work compensation awesome coworkers ive met along way pay min wage theres much could take going insane working company honestly say working made become angry person sales associate uniqlo san francisco, ca"
1899,working uniqlo best part co workers best thing team work team close team lack care management work life balance,uniqlo,sales associate,"san francisco, ca","working uniqlo best part co workers best thing team work team close team lack care management work life balance sales associate uniqlo san francisco, ca"
1900,offered higher pay online started lower management terrible like high school really disappointing,uniqlo,sales associate,"san francisco, ca","offered higher pay online started lower management terrible like high school really disappointing sales associate uniqlo san francisco, ca"
1901,job fast slow paced managers disorganized extremely rude didnt care wellbeing still asked work even though physically sick 1 hour lunches really helped refresh store filthy dirt dust made allergies go insane store doesnt meet goal hours significantly cut one happy working,uniqlo,sales associate,"san francisco, ca","job fast slow paced managers disorganized extremely rude didnt care wellbeing still asked work even though physically sick 1 hour lunches really helped refresh store filthy dirt dust made allergies go insane store doesnt meet goal hours significantly cut one happy working sales associate uniqlo san francisco, ca"
1902,company pays better retailfood service places area weekly schedule sometimes posted late days advance scheduling ’ always fair technically associates supposed open weekend availability work least 2 closing weekday shifts people worked morning shifts pretty much exclusively open availability still get scheduled close everyday coworkers great lower level managers supervisors asms sits das store managers seem focus associates wrong successfully morale low lot people quitting wanting quit difficult get promoted say ’ solely based points get evaluations favoritism involved ’ able get fulltime benefits pretty good return policy pretty strict means dealing rude customers often might stressful retail jobs learn lot,uniqlo,retail sales associate,"san jose, ca","company pays better retailfood service places area weekly schedule sometimes posted late days advance scheduling ’ always fair technically associates supposed open weekend availability work least 2 closing weekday shifts people worked morning shifts pretty much exclusively open availability still get scheduled close everyday coworkers great lower level managers supervisors asms sits das store managers seem focus associates wrong successfully morale low lot people quitting wanting quit difficult get promoted say ’ solely based points get evaluations favoritism involved ’ able get fulltime benefits pretty good return policy pretty strict means dealing rude customers often might stressful retail jobs learn lot retail sales associate uniqlo san jose, ca"
1903,honestly ’ great place learn skills best stay learned lot store ’ want stay longer ’ job ’ get paid enough ’ move ’ favorite,uniqlo,sales associate,"san jose, ca","honestly ’ great place learn skills best stay learned lot store ’ want stay longer ’ job ’ get paid enough ’ move ’ favorite sales associate uniqlo san jose, ca"
1904,work environment bit juvenile considering many coworkers high school college students however managers helpful communicating goals,uniqlo,sales associate,"san jose, ca","work environment bit juvenile considering many coworkers high school college students however managers helpful communicating goals sales associate uniqlo san jose, ca"
1905,’ ok management terrible unrealistic replenishment years ready leave ’ compensated wrong pay due mixup moving store taken corporate learned lot ’ fun environment anymore ’ currently working uniqlo aware tell issues,uniqlo,sales associate,"santa clara, ca","’ ok management terrible unrealistic replenishment years ready leave ’ compensated wrong pay due mixup moving store taken corporate learned lot ’ fun environment anymore ’ currently working uniqlo aware tell issues sales associate uniqlo santa clara, ca"
1906,wouldnt problem job werent terrible store management unreasonable late shifts disorganization goes behind scenes doesnt make sense unnecessarily lateness right word get gist closing shifts closers required stay longer mall janitorial services managers time rude employees customers understand long shifts hard everyone else around tired well,uniqlo,sales associate,"santa clara, ca","wouldnt problem job werent terrible store management unreasonable late shifts disorganization goes behind scenes doesnt make sense unnecessarily lateness right word get gist closing shifts closers required stay longer mall janitorial services managers time rude employees customers understand long shifts hard everyone else around tired well sales associate uniqlo santa clara, ca"
1907,job scope alright manageable working environment toxic unbearable staff foreigners lots work conflicts management sometimes biased refuse ot youre dead cause wont possible bad attitude lot staff well management literally care humans working objects supervision,uniqlo,senior retail associate,singapore,job scope alright manageable working environment toxic unbearable staff foreigners lots work conflicts management sometimes biased refuse ot youre dead cause wont possible bad attitude lot staff well management literally care humans working objects supervision senior retail associate uniqlo singapore
1908,withstand horrible management team respect hard workers get shifts right year working job perks pay 30 discount even sale items,uniqlo,customer advisor,"stratford, greater london","withstand horrible management team respect hard workers get shifts right year working job perks pay 30 discount even sale items customer advisor uniqlo stratford, greater london"
1909,uniqlo amazing store shop customer store employees worked like dogs management tries efficient one worker take variety tasks point becomes difficult stressful complete companyspecific procedures two team meetings daily note quizzed daily business stats bestselling items pedantic working hours long start early 630700am end late 11001130pm makes really difficult maintain work life balance overall left feeling depressed quality life positive note work experience taught lot working hard fast timepressured environments deliver strong customer service people worked really friendly fun supportive whenever needed,uniqlo,customer advisor,"stratford, greater london","uniqlo amazing store shop customer store employees worked like dogs management tries efficient one worker take variety tasks point becomes difficult stressful complete companyspecific procedures two team meetings daily note quizzed daily business stats bestselling items pedantic working hours long start early 630700am end late 11001130pm makes really difficult maintain work life balance overall left feeling depressed quality life positive note work experience taught lot working hard fast timepressured environments deliver strong customer service people worked really friendly fun supportive whenever needed customer advisor uniqlo stratford, greater london"
1910,trained extensively job way many rules regulations retail position learn fold jeans within seven seconds standard phrases everything understood company policy however times follow standard phrases get penalized everything done uniform else get scolded management team part nice however evident biases towards certain staff members others hours used give us completely unacceptable parttime staff would give 40 hours week even stated plenty times available overall experience really stressful enjoy need change rules regulations order accommodate employees,uniqlo,sales associate,"toronto, on","trained extensively job way many rules regulations retail position learn fold jeans within seven seconds standard phrases everything understood company policy however times follow standard phrases get penalized everything done uniform else get scolded management team part nice however evident biases towards certain staff members others hours used give us completely unacceptable parttime staff would give 40 hours week even stated plenty times available overall experience really stressful enjoy need change rules regulations order accommodate employees sales associate uniqlo toronto, on"
1911,time company initially great time moved management changed culture store changed well regret say dislike work environment,uniqlo,sales associate,"tukwila, wa","time company initially great time moved management changed culture store changed well regret say dislike work environment sales associate uniqlo tukwila, wa"
1912,couldnt take working seemed odd man told one thing get trouble would ask help would gotten forgotten even started get headaches hated work company uncomfortable,uniqlo,uniqlo southcenter mall tukwila - sales associate,"tukwila, wa","couldnt take working seemed odd man told one thing get trouble would ask help would gotten forgotten even started get headaches hated work company uncomfortable uniqlo southcenter mall tukwila - sales associate uniqlo tukwila, wa"
