id,string_remove_stopwords,company_lower,occupation_lower,place_lower,keywords_combined
2990,colleagues bosses supportive encouraging everyone given opportunity showcase talents voice opinions higher management afraid entrust newinexperienced staff enhanced responsibilities deadlines might rushed times colleagues generally supportive allows tasks easily accomplished strong camaraderie within team,singtel,marketing executive,orchard,colleagues bosses supportive encouraging everyone given opportunity showcase talents voice opinions higher management afraid entrust newinexperienced staff enhanced responsibilities deadlines might rushed times colleagues generally supportive allows tasks easily accomplished strong camaraderie within team marketing executive singtel orchard
2991,nice enjoyable working environment plus help full working colleagues never thought leave company early,singtel,technical support,orchard road,nice enjoyable working environment plus help full working colleagues never thought leave company early technical support singtel orchard road
2992,assist customers educating latest promotions upselling cross selling different products services offered singtel regular call backs customers confirming appointment schedules making sure everything goes smoothly,singtel,sales executive,parkway parade,assist customers educating latest promotions upselling cross selling different products services offered singtel regular call backs customers confirming appointment schedules making sure everything goes smoothly sales executive singtel parkway parade
2993,managers colleagues helpful discipline follow sop times brainstorm ways improve sales occasionally much team player everyone ensure every hour sufficient manpower serve customers,singtel,retail sales executive,"parkway, mo","managers colleagues helpful discipline follow sop times brainstorm ways improve sales occasionally much team player everyone ensure every hour sufficient manpower serve customers retail sales executive singtel parkway, mo"
2994,handle day day work tasks include attending multiple customer accounts meet business request timeline handle technical enquiries home helpdesk troubleshooting remote assistance,singtel,senior customer service care officer,raffles,handle day day work tasks include attending multiple customer accounts meet business request timeline handle technical enquiries home helpdesk troubleshooting remote assistance senior customer service care officer singtel raffles
2995,fun working environments supportive team leaders management really helpfull easy hit monthly target pleasant working environment,singtel,technucal support,raffles singapore,fun working environments supportive team leaders management really helpfull easy hit monthly target pleasant working environment technucal support singtel raffles singapore
2996,resolve customers phone technical issue ampathy customer working fun enviroment know manage stress level monthly gift hit amount good feedback,singtel,customer service representative,serangoon,resolve customers phone technical issue ampathy customer working fun enviroment know manage stress level monthly gift hit amount good feedback customer service representative singtel serangoon
2997,busy day provide system maintenance ensure 100 uptime system testing training great challenge system upgrade live production environment,singtel,project management,serangoon north,busy day provide system maintenance ensure 100 uptime system testing training great challenge system upgrade live production environment project management singtel serangoon north
2998,singtel groom employee best acknowledge hard work implement never ending training make sure deserving employee stagnant,singtel,customer care officer,"serangoon, s00","singtel groom employee best acknowledge hard work implement never ending training make sure deserving employee stagnant customer care officer singtel serangoon, s00"
2999,family spirit even though people working different teams feel support team coworkers friendly supportive,singtel,associate engineer,singapore,family spirit even though people working different teams feel support team coworkers friendly supportive associate engineer singtel singapore
3000,environment definitely fun different teams working together good benefits hard climb due alot position colleagues,singtel,billing executive,singapore,environment definitely fun different teams working together good benefits hard climb due alot position colleagues billing executive singtel singapore
3001,making inbound outbound calls solve peoples enquiry rotational working shift feel relaxed soothing place work fun loving environment,singtel,customer care consultant,singapore,making inbound outbound calls solve peoples enquiry rotational working shift feel relaxed soothing place work fun loving environment customer care consultant singtel singapore
3002,singtel first official full time employment extremely privileged work one biggest organization singapore satisfaction comes mostly retaining high spending customers,singtel,customer relationship manager,singapore,singtel first official full time employment extremely privileged work one biggest organization singapore satisfaction comes mostly retaining high spending customers customer relationship manager singtel singapore
3003,assisted provided trouble shooting solutions users registering business accounting corporate regulatory authority via internet registration received commendation user providing friendly effective service,singtel,customer service executive,singapore,assisted provided trouble shooting solutions users registering business accounting corporate regulatory authority via internet registration received commendation user providing friendly effective service customer service executive singtel singapore
3004,loved working top management open new ideas,singtel,marketing research analyst intern,singapore,loved working top management open new ideas marketing research analyst intern singtel singapore
3005,often encountered customer requires customisation network thus quite challenging implement required solutions however supreme guidance superiors challenge became fun lab huge learning curve confidence boost directors help dedicate time personal life enjoy core,singtel,network specialist,singapore,often encountered customer requires customisation network thus quite challenging implement required solutions however supreme guidance superiors challenge became fun lab huge learning curve confidence boost directors help dedicate time personal life enjoy core network specialist singtel singapore
3006,best colleagues nice environment work lot learning opportunity one grow much always option review take good feedback improve policy lack gap company fix staff well way external customer,singtel,process & communication executive,singapore,best colleagues nice environment work lot learning opportunity one grow much always option review take good feedback improve policy lack gap company fix staff well way external customer process & communication executive singtel singapore
3007,• application development maintenance support services enterprise information management applications singtel singapore • informatica mdm • change request process • new multiple small mini project developments • incidents sas cognos server administrations main assignment accomplishments responsible directing coordinating matters concerning services including supplier ’ personnel management contract administration progress monitoring labor logistic support documentation preparation • implemented mdm – cleaning removal duplicates invalid entries enhancing enriching quality data data cleansing missing values incomplete values protecting data using tool • identified converted new business opportunities • master data management nothing cleaning enhancing protecting data • service level management incident management service requests work type 1 2 34 • problem management change management • application management defect management • system health check housekeeping inscope applications development • user acceptance testing uat production environment • root cause analysis,singtel,service delivery manager -,singapore,• application development maintenance support services enterprise information management applications singtel singapore • informatica mdm • change request process • new multiple small mini project developments • incidents sas cognos server administrations main assignment accomplishments responsible directing coordinating matters concerning services including supplier ’ personnel management contract administration progress monitoring labor logistic support documentation preparation • implemented mdm – cleaning removal duplicates invalid entries enhancing enriching quality data data cleansing missing values incomplete values protecting data using tool • identified converted new business opportunities • master data management nothing cleaning enhancing protecting data • service level management incident management service requests work type 1 2 34 • problem management change management • application management defect management • system health check housekeeping inscope applications development • user acceptance testing uat production environment • root cause analysis service delivery manager - singtel singapore
3008,comfortable flexible office hours managed handle calls australia new zealand india many level 1 agent ive learnt explain sorts issues users mobility desktop issues network issues phone,singtel,service desk,singapore,comfortable flexible office hours managed handle calls australia new zealand india many level 1 agent ive learnt explain sorts issues users mobility desktop issues network issues phone service desk singtel singapore
3009,typical day challenging learn resourceful management supportive workplace culture supportive hardest part work many people across different functional department enjoy working people,singtel,solution consultant,singapore,typical day challenging learn resourceful management supportive workplace culture supportive hardest part work many people across different functional department enjoy working people solution consultant singtel singapore
3010,cool productive nice time colleagues vendors good work life balance nice pay bonus enjoyed though journey singtel,singtel,solution designer,singapore,cool productive nice time colleagues vendors good work life balance nice pay bonus enjoyed though journey singtel solution designer singtel singapore
3011,good day work starts identify unsolved problems unfinished business previous day learned manage problems review multiple problems quickly possible found challenging dealing impatient customers especially nonenglish speaking clients bogus technical needs lunch breaks smoke breaks usually best part working get unwine minutes chats colleagues moment relax smile listen jokes comics coworkers,singtel,systems analyst,singapore,good day work starts identify unsolved problems unfinished business previous day learned manage problems review multiple problems quickly possible found challenging dealing impatient customers especially nonenglish speaking clients bogus technical needs lunch breaks smoke breaks usually best part working get unwine minutes chats colleagues moment relax smile listen jokes comics coworkers systems analyst singtel singapore
3012,lively wonderful job learn new things handling different types people races great management helps employees give necessary help cool colleagues work ethic attitudes assigned place people coming creating personality educated part large company,singtel,digital home mio tv outdoor sales,"singapore, s00","lively wonderful job learn new things handling different types people races great management helps employees give necessary help cool colleagues work ethic attitudes assigned place people coming creating personality educated part large company digital home mio tv outdoor sales singtel singapore, s00"
